Date,High,Low,Open,Close,Volume,Adj Close,Name
2020-07-10,248.88999938964844,243.0,248.22000122070312,244.24000549316406,1142900,244.24000549316406,ADSK
2020-07-13,246.72999572753906,231.25999450683594,246.1699981689453,231.86000061035156,2030600,231.86000061035156,ADSK
2020-07-14,234.67999267578125,226.5500030517578,228.86000061035156,234.60000610351562,2459300,234.60000610351562,ADSK
2020-07-15,237.16000366210938,231.5,236.0,235.5800018310547,1112300,235.5800018310547,ADSK
2020-07-16,235.38999938964844,229.25,233.86000061035156,234.02999877929688,1029200,234.02999877929688,ADSK
2020-07-17,238.05999755859375,232.6699981689453,235.8000030517578,237.6999969482422,1102400,237.6999969482422,ADSK
2020-07-20,246.9600067138672,237.42999267578125,239.0500030517578,246.0399932861328,1050200,246.0399932861328,ADSK
2020-07-21,247.3000030517578,237.33999633789062,246.63999938964844,239.69000244140625,987800,239.69000244140625,ADSK
2020-07-22,243.91000366210938,239.05999755859375,241.39999389648438,240.74000549316406,515000,240.74000549316406,ADSK
2020-07-23,245.16000366210938,235.72999572753906,241.2899932861328,237.33999633789062,1176600,237.33999633789062,ADSK
2020-07-24,236.02999877929688,230.24000549316406,234.13999938964844,232.8800048828125,1007600,232.8800048828125,ADSK
2020-07-27,239.97000122070312,233.30999755859375,234.9600067138672,239.69000244140625,731100,239.69000244140625,ADSK
2020-07-28,240.60000610351562,234.13999938964844,238.52999877929688,234.5800018310547,623900,234.5800018310547,ADSK
2020-07-29,240.1199951171875,236.5800018310547,236.5800018310547,238.61000061035156,503000,238.61000061035156,ADSK
2020-07-30,237.64999389648438,231.4199981689453,235.2899932861328,236.10000610351562,712800,236.10000610351562,ADSK
2020-07-31,238.36000061035156,231.5,238.36000061035156,236.42999267578125,1144200,236.42999267578125,ADSK
2020-08-03,240.4600067138672,235.83999633789062,239.4199981689453,239.47999572753906,1269300,239.47999572753906,ADSK
2020-08-04,241.8699951171875,236.72999572753906,239.2899932861328,239.89999389648438,973700,239.89999389648438,ADSK
2020-08-05,246.36000061035156,235.24000549316406,240.07000732421875,243.1999969482422,1292700,243.1999969482422,ADSK
2020-08-06,244.5,239.24000549316406,243.63999938964844,243.57000732421875,735900,243.57000732421875,ADSK
2020-08-07,242.47000122070312,233.1999969482422,242.47000122070312,236.24000549316406,1042900,236.24000549316406,ADSK
2020-08-10,236.92999267578125,227.52000427246094,236.39999389648438,231.8800048828125,1307700,231.8800048828125,ADSK
2020-08-11,232.7899932861328,227.5500030517578,231.1699981689453,228.7899932861328,927500,228.7899932861328,ADSK
2020-08-12,233.8699951171875,229.3000030517578,229.3000030517578,231.57000732421875,905100,231.57000732421875,ADSK
2020-08-13,243.25,232.57000732421875,232.8800048828125,238.19000244140625,1200700,238.19000244140625,ADSK
2020-08-14,239.6300048828125,233.4600067138672,237.9199981689453,234.35000610351562,786200,234.35000610351562,ADSK
2020-08-17,239.35000610351562,235.64999389648438,236.3000030517578,239.0,919800,239.0,ADSK
2020-08-18,246.3300018310547,240.25999450683594,241.94000244140625,242.69000244140625,1482500,242.69000244140625,ADSK
2020-08-19,244.97999572753906,239.1699981689453,244.39999389648438,241.4199981689453,1250700,241.4199981689453,ADSK
2020-08-20,250.6199951171875,239.4499969482422,240.44000244140625,249.14999389648438,1080500,249.14999389648438,ADSK
2020-08-21,249.92999267578125,245.27000427246094,249.3300018310547,248.27000427246094,1088300,248.27000427246094,ADSK
2020-08-24,253.47000122070312,249.66000366210938,250.10000610351562,251.8000030517578,1227100,251.8000030517578,ADSK
2020-08-25,254.35000610351562,246.39999389648438,249.02000427246094,252.24000549316406,1555100,252.24000549316406,ADSK
2020-08-26,253.25999450683594,237.19000244140625,246.66000366210938,248.2100067138672,3075800,248.2100067138672,ADSK
2020-08-27,250.19000244140625,241.74000549316406,250.19000244140625,243.11000061035156,1137800,243.11000061035156,ADSK
2020-08-28,250.5,244.85000610351562,244.85000610351562,247.38999938964844,999000,247.38999938964844,ADSK
2020-08-31,247.97999572753906,242.5500030517578,246.3300018310547,245.6999969482422,1210700,245.6999969482422,ADSK
2020-09-01,253.6999969482422,244.6699981689453,247.99000549316406,253.50999450683594,1413400,253.50999450683594,ADSK
2020-09-02,261.94000244140625,254.14999389648438,255.47999572753906,261.3500061035156,2373900,261.3500061035156,ADSK
2020-09-03,256.80999755859375,239.22999572753906,256.80999755859375,242.08999633789062,2497700,242.08999633789062,ADSK
2020-09-04,244.44000244140625,228.17999267578125,240.52999877929688,233.8800048828125,2704600,233.8800048828125,ADSK
2020-09-08,230.19000244140625,223.9199981689453,224.16000366210938,224.36000061035156,1845600,224.36000061035156,ADSK
2020-09-09,234.97999572753906,225.58999633789062,227.61000061035156,232.77999877929688,2018100,232.77999877929688,ADSK
2020-09-10,239.00999450683594,226.9499969482422,234.0,228.1999969482422,2128600,228.1999969482422,ADSK
2020-09-11,231.33999633789062,223.27000427246094,228.17999267578125,227.47999572753906,992200,227.47999572753906,ADSK
2020-09-14,232.89999389648438,228.22999572753906,231.02999877929688,229.8300018310547,1276800,229.8300018310547,ADSK
2020-09-15,240.0500030517578,231.08999633789062,231.47999572753906,235.8699951171875,1969700,235.8699951171875,ADSK
2020-09-16,237.58999633789062,230.3300018310547,236.41000366210938,230.75999450683594,1092500,230.75999450683594,ADSK
2020-09-17,227.50999450683594,220.42999267578125,225.5,226.97000122070312,1884400,226.97000122070312,ADSK
2020-09-18,229.33999633789062,219.88999938964844,228.32000732421875,225.1300048828125,2034100,225.1300048828125,ADSK
2020-09-21,227.75999450683594,218.50999450683594,220.8000030517578,227.63999938964844,1205500,227.63999938964844,ADSK
2020-09-22,230.0800018310547,225.72000122070312,229.41000366210938,229.55999755859375,841100,229.55999755859375,ADSK
2020-09-23,230.3300018310547,221.0500030517578,228.60000610351562,221.8699951171875,901900,221.8699951171875,ADSK
2020-09-24,223.89999389648438,215.8300018310547,219.49000549316406,220.9600067138672,1147900,220.9600067138672,ADSK
2020-09-25,228.97000122070312,219.9199981689453,221.17999267578125,227.8000030517578,1054700,227.8000030517578,ADSK
2020-09-28,234.33999633789062,229.10000610351562,232.5,232.14999389648438,995900,232.14999389648438,ADSK
2020-09-29,234.3800048828125,230.57000732421875,232.50999450683594,232.9199981689453,951100,232.9199981689453,ADSK
2020-09-30,236.7100067138672,228.9499969482422,232.2899932861328,231.00999450683594,1466000,231.00999450683594,ADSK
2020-10-01,238.61000061035156,232.75,232.75999450683594,233.9600067138672,1438800,233.9600067138672,ADSK
2020-10-02,231.13999938964844,223.50999450683594,228.77000427246094,225.55999755859375,1253300,225.55999755859375,ADSK
2020-10-05,230.1300048828125,225.0399932861328,226.86000061035156,228.92999267578125,915700,228.92999267578125,ADSK
2020-10-06,231.57000732421875,226.5,228.32000732421875,228.00999450683594,979900,228.00999450683594,ADSK
2020-10-07,234.2100067138672,229.30999755859375,229.30999755859375,233.00999450683594,1039100,233.00999450683594,ADSK
2020-10-08,238.0,232.25999450683594,237.22999572753906,234.30999755859375,1382100,234.30999755859375,ADSK
2020-10-09,238.13999938964844,233.32000732421875,234.3800048828125,237.5,1794400,237.5,ADSK
2020-10-12,246.1199951171875,239.9199981689453,243.4600067138672,242.1199951171875,1988000,242.1199951171875,ADSK
2020-10-13,247.8699951171875,242.38999938964844,242.75,244.08999633789062,1374500,244.08999633789062,ADSK
2020-10-14,250.74000549316406,244.52999877929688,246.8800048828125,246.6999969482422,1414700,246.6999969482422,ADSK
2020-10-15,253.9600067138672,242.1199951171875,244.0,252.02999877929688,2635800,252.02999877929688,ADSK
2020-10-16,261.45001220703125,253.1699981689453,253.2100067138672,259.9700012207031,2288700,259.9700012207031,ADSK
